"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"2019","TUCSON AMA","Industrial","Supply","Other","Other","0"
"2019","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","55937"
"2019","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","0"
"2019","TUCSON AMA","Agricultural","Supply","CAP","CAP","0"
"2019","TUCSON AMA","Agricultural","Supply","CAP","GSF (CAP)","30310"
"2019","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","0"
"2019","TUCSON AMA","Agricultural","Supply","Other","Other","37"
"2019","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","252"
"2019","TUCSON AMA","Indian","Supply","CAP","CAP","16977"
"2020","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","25825"
"2020","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","2914"
"2020","TUCSON AMA","Municipal","Supply","Groundwater","Remediation water","6136"
"2020","TUCSON AMA","Municipal","Supply","CAP","CAP","0"
"2020","TUCSON AMA","Municipal","Supply","Effluent","Effluent","4655"
"2020","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","114285"
"2020","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","12048"
"2020","TUCSON AMA","Industrial","Supply","","Recovered Reclaimed","364"
"2020","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","45613"
"2020","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","0"
"2020","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"2020","TUCSON AMA","Industrial","Supply","CAP","CAP","0"
"2020","TUCSON AMA","Industrial","Supply","Effluent","Effluent","921"
"2020","TUCSON AMA","Industrial","Supply","Surface Water","Recovered Surface Water","0"
"2020","TUCSON AMA","Industrial","Supply","Other","Other","2197"
"2020","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","62846"
"2020","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","2154"
"2020","TUCSON AMA","Agricultural","Supply","CAP","CAP","0"
"2020","TUCSON AMA","Agricultural","Supply","CAP","GSF (CAP)","32644"
"2020","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","230"
"2020","TUCSON AMA","Agricultural","Supply","Other","Other","44"
"2020","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","262"
"2020","TUCSON AMA","Indian","Supply","CAP","CAP","18087"
"2021","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","24243"
"2021","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","2746"
"2021","TUCSON AMA","Municipal","Supply","Groundwater","Remediation water","2769"
"2021","TUCSON AMA","Municipal","Supply","CAP","CAP","4678"
"2021","TUCSON AMA","Municipal","Supply","Effluent","Effluent","15858"
"2021","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","113549"
"2021","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","11233"
"2021","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","51565"
"2021","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","0"
"2021","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"2021","TUCSON AMA","Industrial","Supply","CAP","CAP","0"
"2021","TUCSON AMA","Industrial","Supply","Effluent","Effluent","129"
"2021","TUCSON AMA","Industrial","Supply","Other","Other","816"
"2021","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","44095"
"2021","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","8551"
"2021","TUCSON AMA","Agricultural","Supply","CAP","CAP","0"
"2021","TUCSON AMA","Agricultural","Supply","CAP","GSF (CAP)","23880"
"2021","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","0"
"2021","TUCSON AMA","Agricultural","Supply","Other","Other","37"
"2021","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","272"
"2021","TUCSON AMA","Indian","Supply","CAP","CAP","16791"
